platename,predictplate Date &,date&time,time,Location,,,,,,,Search,4LLLLPA
4LLLLPA,APLLLL4,"07/09/2019,02.39.31",14.09.31,JU,,,,,,,,
,,"07/09/2019,02.39.32",14.09.32,JU,,,,,,,,
4LLLLPA,APLLLL4,"07/09/2019,02.39.33",14.09.33,JU,,,,,,,,
,,"07/09/2019,02.39.34",14.09.34,JU,,,,,,,,
4LLLLPA,APLLLL4,"07/09/2019,02.39.35",14.09.35,JU,,,,,,,,
,,"07/09/2019,02.39.36",14.09.36,JU,,,,,,,,
4LLLLPA,APLLLL4,"07/09/2019,02.39.37",14.09.37,JU,,,,,,,,
,,"07/09/2019,02.39.38",14.09.38,JU,,,,,,,,
4LLLLPA,APLLLL4,"07/09/2019,02.39.39",14.09.39,JU,,,,,,,,
,,"07/09/2019,02.39.40",14.09.40,JU,,,,,,,,
4LLLLPA,APLLLL4,"09/09/2019,02.39.41",14.09.41,JU,,,,,,,,
,,"08/09/2019,02.39.42",14.09.42,JU,,,,,,,,
4LLLLPA,APLLLL4,"08/09/2019,02.39.43",20.09.16,JU,,,,,,,,
,,"08/09/2019,02.39.44",20.09.17,JU,,,,,,,,
4LLLLPA,APLLLL4,"08/09/2019,02.39.45",20.09.18,JU,,,,,,,,
,,"08/09/2019,02.39.46",20.09.19,JU,,,,,,,,
4LLLLPA,APLLLL4,"08/09/2019,02.39.47",20.09.20,JU,,,,,,,,
,,"08/09/2019,02.39.48",20.09.21,JU,,,,,,,,
LLS07LLJLJ4,LLS07LLJLJ4,"08/09/2019,02.39.49",20.09.22,JU,,,,,,,,
,,"08/09/2019,02.39.50",20.09.23,JU,,,,,,,,
LLS07LLJLJ4,LLS07LLJLJ4,"08/09/2019,02.39.51",20.09.24,JU,,,,,,,,
,,"08/09/2019,02.39.52",20.09.25,JU,,,,,,,,
LLS07LLJLJ4,LLS07LLJLJ4,"09/09/2019,02.39.53",20.09.26,JU,,,,,,,,
,,"09/09/2019,02.39.54",20.09.27,JU,,,,,,,,
LLS07LLJLJ4,LLS07LLJLJ4,"09/09/2019,02.39.55",20.09.28,JU,,,,,,,,
,,"09/09/2019,02.39.56",20.09.29,JU,,,,,,,,
LLS07LLJLJ4,LLS07LLJLJ4,"09/09/2019,02.39.57",20.09.30,JU,,,,,,,,
,,"09/09/2019,02.39.58",20.09.31,JU,,,,,,,,
LLS07LLJL34,LLS07LLJL34,"09/09/2019,02.39.59",20.09.32,JU,,,,,,,,
,,"09/09/2019,02.39.60",20.09.33,JU,,,,,,,,
LLS07LLJL34,LLS07LLJL34,"09/09/2019,02.39.61",20.09.34,JU,,,,,,,,
,,"09/09/2019,02.39.62",20.09.35,JU,,,,,,,,
LLS07LLJL34,LLS07LLJL34,"09/09/2019,02.39.63",20.09.36,JU,,,,,,,,
,,"09/09/2019,02.39.64",20.09.37,JU,,,,,,,,
LLS07LLJL34,LLS07LLJL34,"09/09/2019,02.39.65",20.09.38,JU,,,,,,,,
,,"09/09/2019,02.39.66",20.09.39,JU,,,,,,,,
LLS07LLJL34,LLS07LLJL34,"10/09/2019,02.39.67",20.09.40,JU,,,,,,,,
,,"10/09/2019,02.39.68",20.09.41,JU,,,,,,,,
LLS07LLJL34,LLS07LLJL34,"10/09/2019,02.39.69",20.09.42,JU,,,,,,,,
,,"10/09/2019,02.39.70",20.09.43,JU,,,,,,,,
LLS07LLJL34,LLS07LLJL34,"10/09/2019,02.39.71",20.09.44,JU,,,,,,,,
,,"10/09/2019,02.39.72",20.09.45,JU,,,,,,,,
LTS07FL3L34,LTS07FL3L34,"10/09/2019,02.39.73",20.09.46,JU,,,,,,,,
,,"10/09/2019,02.39.74",20.09.47,JU,,,,,,,,
LTS07FXJ5L2,LTS07FXJ5L2,"10/09/2019,02.39.75",20.09.48,JU,,,,,,,,
,,,20.09.49,,,,,,,,,
TS0LFL35L3,TS0LFL35L4,"10/09/2019,02.39.77",20.09.50,JU,,,,,,,,
LLS07LLJLJ4,LLS07LLJLJ4,"10/11/2019, 21:21:38",,JU,,,,,,,,
,,,,,,,,,,,,
LLS07LLJLJ4,LLS07LLJLJ4,"10/11/2019, 23:54:37",,JU,,,,,,,,
