platename,predictplate,date&time,time,Location
4LLLLPA,APLLLL4,"07/09/2019,02.39.31",,Shahbag
,,"07/09/2019,02.39.32",,Shahbag
4LLLLPA,APLLLL4,"07/09/2019,02.39.33",,Shahbag
,,"07/09/2019,02.39.34",,Shahbag
4LLLLPA,APLLLL4,"07/09/2019,02.39.35",,Shahbag
,,"07/09/2019,02.39.36",,Shahbag
4LLLLPA,APLLLL4,"07/09/2019,02.39.37",,Shahbag
,,"07/09/2019,02.39.38",,Shahbag
4LLLLPA,APLLLL4,"07/09/2019,02.39.39",,Shahbag
,,"07/09/2019,02.39.40",,Shahbag
4LLLLPA,APLLLL4,"09/09/2019,02.39.41",,Shahbag
,,"08/09/2019,02.39.42",,Shahbag
4LLLLPA,APLLLL4,"08/09/2019,02.39.43",,Shahbag
,,"08/09/2019,02.39.44",,Shahbag
4LLLLPA,APLLLL4,"08/09/2019,02.39.45",,Shahbag
,,"08/09/2019,02.39.46",,Shahbag
4LLLLPA,APLLLL4,"08/09/2019,02.39.47",,Shahbag
,,"08/09/2019,02.39.48",,Shahbag
LLS07LLJLJ4,LLS07LLJLJ4,"08/09/2019,02.39.49",,Shahbag
,,"08/09/2019,02.39.50",,Shahbag
LLS07LLJLJ4,LLS07LLJLJ4,"08/09/2019,02.39.51",,Shahbag
,,"08/09/2019,02.39.52",,Shahbag
LLS07LLJLJ4,LLS07LLJLJ4,"09/09/2019,02.39.53",,Shahbag
,,"09/09/2019,02.39.54",,Shahbag
LLS07LLJLJ4,LLS07LLJLJ4,"09/09/2019,02.39.55",,Shahbag
,,"09/09/2019,02.39.56",,Shahbag
LLS07LLJLJ4,LLS07LLJLJ4,"09/09/2019,02.39.57",,Shahbag
,,"09/09/2019,02.39.58",,Shahbag
LLS07LLJL34,LLS07LLJL34,"09/09/2019,02.39.59",,Shahbag
,,"09/09/2019,02.39.60",,Shahbag
LLS07LLJL34,LLS07LLJL34,"09/09/2019,02.39.61",,Shahbag
,,"09/09/2019,02.39.62",,Shahbag
LLS07LLJL34,LLS07LLJL34,"09/09/2019,02.39.63",,Shahbag
,,"09/09/2019,02.39.64",,Shahbag
LLS07LLJL34,LLS07LLJL34,"09/09/2019,02.39.65",,Shahbag
,,"09/09/2019,02.39.66",,Shahbag
LLS07LLJL34,LLS07LLJL34,"10/09/2019,02.39.67",,Shahbag
,,"10/09/2019,02.39.68",,Shahbag
LLS07LLJL34,LLS07LLJL34,"10/09/2019,02.39.69",,Shahbag
,,"10/09/2019,02.39.70",,Shahbag
LLS07LLJL34,LLS07LLJL34,"10/09/2019,02.39.71",,Shahbag
,,"10/09/2019,02.39.72",,Shahbag
LTS07FL3L34,LTS07FL3L34,"10/09/2019,02.39.73",,Shahbag
,,"10/09/2019,02.39.74",,Shahbag
LTS07FXJ5L2,LTS07FXJ5L2,"10/09/2019,02.39.75",,Shahbag
,,"10/09/2019,02.39.76",,Shahbag
TS0LFL35L3,TS0LFL353L,"10/09/2019,02.39.77",,Shahbag
LLS07LLJLJ4,LLS07LLJLJ4,"10/11/2019, 20:42:31",,
LLS07LLJLJ4,LLS07LLJLJ4,"10/11/2019, 20:59:50",,
,,,,
LLS07LLJLJ4,LLS07LLJLJ4,"10/11/2019, 23:51:50",,
,,,,
LLS07LLJLJ4,LLS07LLJLJ4,"10/12/2019, 12:53:21",,
4LLLLPA,APLLLL4,"10/12/2019, 21:48:11"
LLS07LLJLJ4,LLS07LLJLJ4,"10/12/2019, 21:57:50"
