platename,predictplate Date &,date&time,time,Location
4LLLLPA,APLLLL4,"07/09/2019,02.39.31",,JU
,,"07/09/2019,02.39.32",,JU
4LLLLPA,APLLLL4,"07/09/2019,02.39.33",,JU
,,"07/09/2019,02.39.34",,JU
4LLLLPA,APLLLL4,"07/09/2019,02.39.35",,JU
,,"07/09/2019,02.39.36",,JU
4LLLLPA,APLLLL4,"07/09/2019,02.39.37",,JU
,,"07/09/2019,02.39.38",,JU
4LLLLPA,APLLLL4,"07/09/2019,02.39.39",,JU
,,"07/09/2019,02.39.40",,JU
4LLLLPA,APLLLL4,"09/09/2019,02.39.41",,JU
,,"08/09/2019,02.39.42",,JU
4LLLLPA,APLLLL4,"08/09/2019,02.39.43",,JU
,,"08/09/2019,02.39.44",,JU
4LLLLPA,APLLLL4,"08/09/2019,02.39.45",,JU
,,"08/09/2019,02.39.46",,JU
4LLLLPA,APLLLL4,"08/09/2019,02.39.47",,JU
,,"08/09/2019,02.39.48",,JU
LLS07LLJLJ4,LLS07LLJLJ4,"08/09/2019,02.39.49",,JU
,,"08/09/2019,02.39.50",,JU
LLS07LLJLJ4,LLS07LLJLJ4,"08/09/2019,02.39.51",,JU
,,"08/09/2019,02.39.52",,JU
LLS07LLJLJ4,LLS07LLJLJ4,"09/09/2019,02.39.53",,JU
,,"09/09/2019,02.39.54",,JU
LLS07LLJLJ4,LLS07LLJLJ4,"09/09/2019,02.39.55",,JU
,,"09/09/2019,02.39.56",,JU
LLS07LLJLJ4,LLS07LLJLJ4,"09/09/2019,02.39.57",,JU
,,"09/09/2019,02.39.58",,JU
LLS07LLJL34,LLS07LLJL34,"09/09/2019,02.39.59",,JU
,,"09/09/2019,02.39.60",,JU
LLS07LLJL34,LLS07LLJL34,"09/09/2019,02.39.61",,JU
,,"09/09/2019,02.39.62",,JU
LLS07LLJL34,LLS07LLJL34,"09/09/2019,02.39.63",,JU
,,"09/09/2019,02.39.64",,JU
LLS07LLJL34,LLS07LLJL34,"09/09/2019,02.39.65",,JU
,,"09/09/2019,02.39.66",,JU
LLS07LLJL34,LLS07LLJL34,"10/09/2019,02.39.67",,JU
,,"10/09/2019,02.39.68",,JU
LLS07LLJL34,LLS07LLJL34,"10/09/2019,02.39.69",,JU
,,"10/09/2019,02.39.70",,JU
LLS07LLJL34,LLS07LLJL34,"10/09/2019,02.39.71",,JU
,,"10/09/2019,02.39.72",,JU
LTS07FL3L34,LTS07FL3L34,"10/09/2019,02.39.73",,JU
,,"10/09/2019,02.39.74",,JU
LTS07FXJ5L2,LTS07FXJ5L2,"10/09/2019,02.39.75",,JU
,,"10/09/2019,02.39.76",,JU
TS0LFL35L3,TS0LFL353L,"10/09/2019,02.39.77",,JU
